"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.77325292548516","1.29280216593202","1.19707530561333","1.10619686567722","1.03073939747098","8.26973232625411","8.93418504509056","8.71127366740357","7.94864539185232","7.74809847135828","7.49507199016647","","2.02191486120902","2.0658438463597","0.406323293385734","0.387407588941608","0.714914318219858","0.702016356155197","1.27184529598546","3.38743399672707","3.9502535861942","4.18805660022831","3.95000484186606","3.65307932546026","3.22752223598727","3.16626415921808","3.06108910328096","",
"Angola","AGO","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33451439461576","2.95771881795359","2.4435399104519","2.36078949965095","2.14051442626454","2.10718307621094","1.78637206302133","2.04863441784176","2.0462600710893","1.96211170001821","1.75069532403434","2.09817588482096","1.53160551522792","1.74594299925878","1.52782215942902","1.47294855090573","1.32621677374862","1.3619490072323","1.31415269443423","1.26712335814115","1.22150245219227","1.17870639693029","1.13685466129359","1.09641601284662","1.05760417401114","1.0205418501534","0.985592823132083","",
"Albania","ALB","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.55511265844784","4.62556743258947","4.6969084948287","6.37121419138244","4.98579233842524","4.93203653652666","4.94907221392896","4.98292517639555","4.99741985064008","3.0261639896946","2.01779546130541","1.66684850468536","1.65220665647165","1.7547800207766","0.907713910676215","1.15941380038253","1.17434866168797","1.20199264212575","1.20294286572074","1.15974436875311","1.11317310181345","0.680488863199322","0.66622669578208","0.637642672547983","0.638255534989544","",
"Andorra","AND","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.41958807885338","3.92911965478515","3.60137499988467","3.47399584449333","3.25992743501926","4.26499019811518","4.27612798288934","4.24022427124553","4.18945320351506","3.87837448389411","3.86272250131798","3.87823970524215","3.7461118205978","3.62556982609431","3.24994918695015","3.24269075609303","3.68714877433802","3.21688356106566","3.30718292476367","3.21437990700589","3.18812897781365","3.03245898781904","2.9208844192546","2.32042385964526","2.29873147236241","2.29429088886431","2.17111944120798","",
"United Arab Emirates","ARE","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.02398905109101","6.54940583988687","5.07292561154118","4.70961781023323","4.78869102727","5.30399353361014","4.66472054050936","4.426432356342","4.18338958023039","3.94020513129004","3.72489084941056","3.45743064708434","2.01125430057057","2.23339460058059","1.96740172730002","1.74127043090639","1.48672355862151","1.25785294860462","1.07781826758254","0.951409289000645","0.865602190957953","0.829325064366195","0.811284812668769","0.993781138475672","0.989322850908104","0.982113836347098","0.981945758251501","",
"Argentina","ARG","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.630370618618285","0.507749858627932","0.4600532571806","0.450044318979781","0.467231181248455","0.657039295552484","0.677624315800376","0.665938333880296","0.653074071781511","0.628327529713086","0.621567102513003","0.606779033598068","0.600687600144308","0.596158958290662","0.579615700016371","0.574607875192465","0.592319334299497","0.591474225183966","0.590549931686619","0.564767412065108","0.571774495076377","0.554166848777877","0.548749259241087","0.551651843514465","0.550049449783947","0.541131344765017","0.535168296599659","",
"Armenia","ARM","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.40542705657898","1.51267731639519","3.32511168680699","4.60878585692062","4.47357031510328","4.71242612692649","4.2196842062805","4.22717326437239","3.29116543825019","3.33314988089803","3.52262553022853","3.51119540033403","3.75972733536614","3.74504927414831","3.58638455809638","3.19823092141033","3.2019663122649","4.19176988940878","4.02224083029343","3.95493662161373","3.50377672878556","3.47141210822887","3.47750704531595","3.51147200048059","3.49966108170176","",
"American Samoa","ASM","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
